Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost,0.9045348131448886,0.813496015936255,0.9027355623100304,0.8557956777996071,0.9686869583027212
Random Forest,0.9039278591866817,0.8418186768309284,0.8543796628903012,0.848052660449808,0.9635182592532615
LightGBM,0.9044481054365733,0.8108174857989627,0.90715667311412,0.8562858633281168,0.9688886463441655
